Time (s) Run #1	Voltage, Ch A (V) Run #1	Current, Ch B (A) Run #1	Time (s) Run #2	Voltage, Ch A (V) Run #2	Current, Ch B (A) Run #2
0.000	1.929E-4	1.047E-4	0.000	7.861E-4	1.030
0.025	9.338E-4	9.915E-5	0.025	7.629E-4	0.979
0.050	1.978E-4	1.089E-4	0.050	6.873E-4	1.023
0.075	9.644E-4	1.036E-4	0.075	9.375E-4	1.075
0.100	3.223E-4	1.023E-4	0.100	5.469E-4	0.999
0.125	8.240E-4	9.996E-5	0.125	6.775E-4	0.983
0.150	2.612E-4	1.047E-4	0.150	6.030E-4	1.046
0.175	0.001	1.017E-4	0.175	7.568E-4	1.020
0.200	2.356E-4	1.030E-4	0.200	5.811E-4	0.982
0.225	9.204E-4	1.045E-4	0.225	8.008E-4	1.029
0.250	2.075E-4	1.064E-4	0.250	5.786E-4	0.999
0.275	9.570E-4	1.039E-4	0.275	5.029E-4	1.004
0.300	2.161E-4	1.052E-4	0.300	5.359E-4	1.020
0.325	8.936E-4	1.007E-4	0.325	7.678E-4	1.032
0.350	1.660E-4	1.013E-4	0.350	6.470E-4	0.971
0.375	9.937E-4	9.816E-5	0.375	7.129E-4	0.969
0.400	2.563E-4	1.056E-4	0.400	4.431E-4	1.005
0.425	9.387E-4	1.006E-4	0.425	5.859E-4	1.072
0.450	1.709E-4	1.033E-4	0.450	6.152E-4	1.009
0.475	9.949E-4	1.030E-4	0.475	9.656E-4	0.946
0.500	1.001E-4	1.020E-4	0.500	6.213E-4	1.031
0.525	7.446E-4	9.873E-5	0.525	7.581E-4	1.024
0.550	-1.343E-4	1.027E-4	0.550	5.579E-4	1.037
0.575	4.651E-4	1.013E-4	0.575	7.007E-4	0.989
0.600	4.272E-5	1.023E-4	0.600	6.189E-4	1.029
0.625	7.898E-4	1.012E-4	0.625	6.274E-4	1.024
0.650	3.503E-4	1.083E-4	0.650	4.443E-4	1.031
0.675	8.423E-4	1.057E-4	0.675	5.994E-4	1.067
0.700	2.661E-4	1.050E-4	0.700	6.421E-4	0.993
0.725	7.227E-4	1.036E-4	0.725	6.702E-4	1.035
0.750	1.233E-4	1.083E-4	0.750	5.884E-4	1.043
0.775	8.850E-4	1.019E-4	0.775	7.239E-4	0.994
0.800	2.441E-4	1.063E-4	0.800	5.798E-4	1.039
